DC,X,dis
3.22E-15,0.0000,0
3.22E-15,0.0000,5
3.22E-15,0.0002,10
3.22E-15,0.0003,15
3.22E-15,0.0005,20
3.22E-15,0.0006,25
3.22E-15,0.0006,30
3.22E-15,0.0008,35
3.22E-15,0.0008,40
3.22E-15,0.0009,45
3.22E-15,0.0009,50
3.22E-15,0.0010,55
3.22E-15,0.0013,60
3.22E-15,0.0014,65
3.22E-15,0.0014,70
3.22E-15,0.0014,75
3.22E-15,0.0019,80
3.22E-15,0.0022,85
3.21E-15,0.0024,90
3.21E-15,0.0025,95
3.21E-15,0.0026,100
3.21E-15,0.0030,105
3.21E-15,0.0031,110
3.21E-15,0.0031,115
3.21E-15,0.0037,120
3.21E-15,0.0042,125
3.21E-15,0.0043,130
3.20E-15,0.0053,135
3.20E-15,0.0056,140
3.20E-15,0.0062,145
3.20E-15,0.0065,150
3.19E-15,0.0072,155
3.19E-15,0.0084,160
3.18E-15,0.0094,165
3.18E-15,0.0101,170
3.18E-15,0.0112,175
3.17E-15,0.0119,180
3.17E-15,0.0127,185
3.16E-15,0.0141,190
3.16E-15,0.0148,195
3.16E-15,0.0156,200
3.15E-15,0.0179,205
3.14E-15,0.0195,210
3.13E-15,0.0209,215
3.13E-15,0.0226,220
3.12E-15,0.0240,225
3.11E-15,0.0269,230
3.10E-15,0.0281,235
3.09E-15,0.0320,240
3.09E-15,0.0323,245
3.08E-15,0.0335,250
3.06E-15,0.0377,255
3.05E-15,0.0410,260
3.04E-15,0.0438,265
3.02E-15,0.0475,270
3.01E-15,0.0512,275
2.99E-15,0.0545,280
2.98E-15,0.0584,285
2.97E-15,0.0618,290
2.95E-15,0.0666,295
2.95E-15,0.0666,300
2.92E-15,0.0740,305
2.88E-15,0.0823,310
2.87E-15,0.0858,315
2.85E-15,0.0904,320
2.82E-15,0.0978,325
2.80E-15,0.1040,330
2.78E-15,0.1094,335
2.75E-15,0.1163,340
2.73E-15,0.1224,345
2.73E-15,0.1224,350
2.68E-15,0.1352,355
2.65E-15,0.1448,360
2.62E-15,0.1524,365
2.59E-15,0.1614,370
2.56E-15,0.1706,375
2.53E-15,0.1794,380
2.50E-15,0.1885,385
2.47E-15,0.1976,390
2.43E-15,0.2078,395
2.42E-15,0.2112,401
2.37E-15,0.2286,406
2.33E-15,0.2399,411
2.29E-15,0.2522,416
2.26E-15,0.2636,421
2.21E-15,0.2770,426
2.18E-15,0.2881,431
2.14E-15,0.3026,436
2.10E-15,0.3157,441
2.07E-15,0.3260,446
2.07E-15,0.3273,451
2.01E-15,0.3501,456
1.95E-15,0.3692,461
1.91E-15,0.3860,466
1.86E-15,0.4040,471
1.82E-15,0.4212,476
1.78E-15,0.4402,481
1.73E-15,0.4605,486
1.68E-15,0.4789,491
1.65E-15,0.4961,496
1.64E-15,0.4966,501
1.56E-15,0.5342,506
1.52E-15,0.5545,511
1.47E-15,0.5771,516
1.43E-15,0.5986,521
1.39E-15,0.6186,526
1.36E-15,0.6393,531
1.32E-15,0.6591,536
1.28E-15,0.6829,541
1.24E-15,0.7028,546
1.24E-15,0.7067,551
1.18E-15,0.7410,556
1.15E-15,0.7623,561
1.12E-15,0.7790,566
1.10E-15,0.7944,571
1.07E-15,0.8115,576
1.05E-15,0.8278,581
1.03E-15,0.8437,586
1.00E-15,0.8600,591
9.84E-16,0.8755,596
9.83E-16,0.8759,601
9.49E-16,0.9020,606
9.32E-16,0.9152,611
9.17E-16,0.9275,616
9.05E-16,0.9372,621
8.92E-16,0.9480,626
8.83E-16,0.9552,631
8.75E-16,0.9621,636
8.67E-16,0.9686,641
8.61E-16,0.9738,646
8.59E-16,0.9750,651
8.52E-16,0.9814,656
8.47E-16,0.9859,661
8.44E-16,0.9887,666
8.42E-16,0.9905,671
8.40E-16,0.9923,676
8.38E-16,0.9941,681
8.36E-16,0.9953,686
8.35E-16,0.9960,691
8.34E-16,0.9969,696
8.34E-16,0.9971,701
8.33E-16,0.9985,706
8.32E-16,0.9986,711
8.32E-16,0.9990,716
8.32E-16,0.9994,721
8.31E-16,0.9997,726
8.31E-16,0.9997,731
8.31E-16,0.9998,736
8.31E-16,0.9998,741
8.31E-16,0.9999,746
8.31E-16,0.9999,751
8.31E-16,0.9999,756
8.31E-16,1.0000,761
8.31E-16,1.0000,766
8.31E-16,1.0000,771
8.31E-16,1.0000,776
8.31E-16,1.0000,781
8.31E-16,1.0000,786
8.31E-16,1.0000,791
8.31E-16,1.0000,796
8.31E-16,1.0000,801
