dis,X
0,0.000268939
5,0.000209196
10,1.99E-05
15,0.000458271
20,0.000597757
25,0.001006267
30,0.000866775
35,0.000767015
40,0.000647584
45,0.00092659
50,0
55,0.000817107
60,0.001424574
65,0.001345012
70,0.001444701
75,0.001424745
80,0.00193274
85,0.002211717
90,0.002440837
95,0.002500588
100,0.002610751
105,0.002998839
110,0.003137851
115,0.003098345
120,0.003746257
125,0.004183568
130,0.00432445
135,0.005259418
140,0.005600117
145,0.006245959
150,0.006486278
155,0.007242444
160,0.008429576
165,0.009404584
170,0.010092124
175,0.011245815
180,0.011875043
185,0.012673842
190,0.014097325
195,0.014767382
200,0.015563035
205,0.017865494
210,0.019508908
215,0.020915792
220,0.022604284
225,0.024023384
230,0.026890662
235,0.028128491
240,0.031970636
245,0.033530749
250,0.032258627
255,0.037654828
260,0.041041181
265,0.043848988
270,0.047498072
275,0.051222288
280,0.054529812
285,0.058365437
290,0.06179498
295,0.066555603
300,0.066601465
305,0.074033386
310,0.082269896
315,0.085751331
320,0.090405013
325,0.097784242
330,0.104026074
335,0.109409771
340,0.11627672
345,0.122438441
350,0.12244106
355,0.135216098
360,0.14475484
365,0.152392601
370,0.161377645
375,0.170611116
380,0.179358091
385,0.188518174
390,0.197572808
395,0.207840425
401,0.211155481
406,0.228563227
411,0.239915704
416,0.25218572
421,0.263647694
426,0.277032648
431,0.288053126
436,0.302578911
441,0.315713827
446,0.327291677
451,0.326003495
456,0.350081764
461,0.369239901
466,0.385963266
471,0.403977902
476,0.421245663
481,0.440165046
486,0.460526884
491,0.478922418
496,0.496050624
501,0.496560728
506,0.534205606
511,0.55451192
516,0.577085234
521,0.598620743
526,0.618648556
531,0.63927031
536,0.6591045
541,0.682857682
546,0.70283915
551,0.706682651
556,0.740968209
561,0.762281963
566,0.778968796
571,0.794448597
576,0.811487074
581,0.827819631
586,0.843673012
591,0.859989792
596,0.875927572
601,0.875516313
606,0.902030279
611,0.915234221
616,0.927496296
621,0.937230566
626,0.947994694
631,0.955175757
636,0.962091578
641,0.968646409
646,0.973826277
651,0.975030929
656,0.981385664
661,0.985893408
666,0.988714597
671,0.990521798
676,0.992318986
681,0.994076038
686,0.995260808
691,0.996043967
696,0.996947526
701,0.997098227
706,0.998634451
711,0.99848384
716,0.998995919
721,0.999377469
726,0.999698775
731,0.999698775
736,0.999969877
741,0.999779101
746,0.999889551
751,1
756,0.99987951
761,1
766,0.999859428
771,1
776,1
781,0.999959837
786,1
791,1
796,0.999839346
801,1
